"","city","year","month","sales","volume","median","inventory"
"119","San Antonio",2009,11,1608,271945968,141000,7.4
"120","San Antonio",2009,12,1399,252403705,147400,7.1
"121","San Antonio",2010,1,857,148724845,138800,7.5
"122","San Antonio",2010,2,1250,210877650,141700,7.8
"123","San Antonio",2010,3,1763,307921677,143300,8.1
"124","San Antonio",2010,4,1918,331213210,142600,7.8
"125","San Antonio",2010,5,2035,356955045,146600,7.8
"126","San Antonio",2010,6,1972,371310192,152000,8.1
"127","San Antonio",2010,7,1559,318011916,161800,8.4
"128","San Antonio",2010,8,1657,328912742,160100,8.3
"129","San Antonio",2010,9,1462,269064373,152000,8.1
"130","San Antonio",2010,10,1320,240255420,149300,8.1
"131","San Antonio",2010,11,1300,246477985,152900,7.9
"132","San Antonio",2010,12,1356,260427064,157200,7.5
"133","San Antonio",2011,1,977,175057159,146100,7.7
"134","San Antonio",2011,2,1130,201443132,148700,7.9
"135","San Antonio",2011,3,1607,290760522,148400,8.2
"136","San Antonio",2011,4,1564,279658832,147900,8.4
"137","San Antonio",2011,5,1871,351947316,152400,8.6
"138","San Antonio",2011,6,1989,382276827,155300,8.5
"139","San Antonio",2011,7,1752,334566084,156500,8.3
"140","San Antonio",2011,8,1820,332639720,153300,7.8
"141","San Antonio",2011,9,1626,305052198,152400,7.5
"142","San Antonio",2011,10,1423,258310111,151400,7.4
"143","San Antonio",2011,11,1295,226300216,147500,7.1
"144","San Antonio",2011,12,1454,266388959,151900,6.6
"145","San Antonio",2012,1,1042,183471954,142100,6.7
"146","San Antonio",2012,2,1316,240879768,150200,6.7
"147","San Antonio",2012,3,1695,312831976,157200,6.8
"148","San Antonio",2012,4,1698,325553748,156900,6.9
"149","San Antonio",2012,5,1948,382613654,160400,7
"150","San Antonio",2012,6,2112,439461614,169700,6.9
"151","San Antonio",2012,7,1950,379996619,163200,6.8
"152","San Antonio",2012,8,2146,418840356,160400,6.4
"153","San Antonio",2012,9,1740,333975240,157200,6.1
"154","San Antonio",2012,10,1707,331573545,157800,5.9
"155","San Antonio",2012,11,1626,313453812,160800,5.5
"156","San Antonio",2012,12,1585,305454501,159500,5.1
"157","San Antonio",2013,1,1292,236163208,150400,5.1
"158","San Antonio",2013,2,1449,285398367,159300,5.4
"159","San Antonio",2013,3,1900,364477084,158300,5.4
"160","San Antonio",2013,4,2046,413772003,165300,5.3
"161","San Antonio",2013,5,2549,546614113,174900,5.1
"162","San Antonio",2013,6,2388,521027508,177800,5.1
"163","San Antonio",2013,7,2490,537769228,178000,5.1
"164","San Antonio",2013,8,2489,518033309,174700,4.8
"165","San Antonio",2013,9,2058,420142221,168400,4.6
"166","San Antonio",2013,10,1910,388789029,168500,4.5
"167","San Antonio",2013,11,1693,361665378,170300,4.2
"168","San Antonio",2013,12,1843,392660916,172300,3.9
"169","San Antonio",2014,1,1401,269857974,160900,4.1
"170","San Antonio",2014,2,1559,313307895,168600,4.3
"171","San Antonio",2014,3,1922,404816960,173300,4.4
"172","San Antonio",2014,4,2193,458876193,175900,4.6
"173","San Antonio",2014,5,2432,539405842,182600,4.7
"174","San Antonio",2014,6,2553,585805307,188800,4.7
"175","San Antonio",2014,7,2556,577877954,185300,4.6
"176","San Antonio",2014,8,2523,553787595,180700,4.5
"177","San Antonio",2014,9,2308,505447424,184000,4.3
"178","San Antonio",2014,10,2225,464066036,174600,4.1
"179","San Antonio",2014,11,1738,388222634,184100,3.9
"180","San Antonio",2014,12,2161,478503900,183400,3.6
"181","San Antonio",2015,1,1485,311909130,175900,3.6
"182","San Antonio",2015,2,1768,387155552,186700,3.6
"183","San Antonio",2015,3,2265,510275463,185800,3.7
"184","San Antonio",2015,4,2450,547396335,188500,3.8
"185","San Antonio",2015,5,2606,633210464,199400,3.9
"186","San Antonio",2015,6,2919,701375402,199400,4
"187","San Antonio",2015,7,2962,704891602,198100,4.1
